",""x"""
"1,""light figure ought object shade colour ground piece appear sun"""
"2,""line painter object painting colour picture art nature draw design"""
"3,""painter painting art picture defign time master piece paint draw"""
"4,""colour water dry oil white lay prepare ground mix crayon"""
"5,""hand head left leave arm leg child body tree hold"""
"6,""colour light white lay teint painting middle red ground tint"""
"7,""white shade colour green leave carmine little flower black lay"""
"8,""god call gold roman ancient offer crown king accord honour"""
"9,""stone blue painting red ornament green flower building fine art"""
"10,""art arte form nor sed graphica de atque ut fight"""